24,AMERICAN GOVERNMENT
25,A: Principles of American Government
26,1. What is the form of government of the United States?
27,• Republic
28,• Constitution-based federal republic
29,• Representative democracy
30,2. What is the supreme law of the land? *
31,• (U.S.) Constitution
32,3. Name one thing the U.S. Constitution does.
33,• Forms the government
34,• Defines powers of government
35,• Defines the parts of government
36,• Protects the rights of the people
37,4. The U.S. Constitution starts with the words “We the People.” What does “We the People” mean?
38,• Self-government
39,• Popular sovereignty
40,• Consent of the governed
41,• People should govern themselves
42,• (Example of) social contract
43,5. How are changes made to the U.S. Constitution?
44,• Amendments
45,• The amendment process
46,6. What does the Bill of Rights protect?
47,• (The basic) rights of Americans
48,• (The basic) rights of people living in the United States
49,7. How many amendments does the U.S. Constitution have? *
50,• Twenty-seven (27)
51,8. Why is the Declaration of Independence important?
52,• It says America is free from British control.
53,• It says all people are created equal.
54,• It identifies inherent rights.
55,• It identifies individual freedoms.
56,3 of 19 uscis.gov/citizenship
57,9. What founding document said the American colonies were free from Britain?
58,• Declaration of Independence
59,10. Name two important ideas from the Declaration of Independence and the U.S. Constitution.
60,• Equality
61,• Liberty
62,• Social contract
63,• Natural rights
64,• Limited government
65,• Self-government
66,"11. The words “Life, Liberty, and the pursuit of Happiness” are in what founding document?"
67,• Declaration of Independence
68,12. What is the economic system of the United States? *
69,• Capitalism
70,• Free market economy
71,13. What is the rule of law?
72,• Everyone must follow the law.
73,• Leaders must obey the law.
74,• Government must obey the law.
75,• No one is above the law.
76,14. Many documents influenced the U.S. Constitution. Name one.
77,• Declaration of Independence
78,• Articles of Confederation
79,• Federalist Papers
80,• Anti-Federalist Papers
81,• Virginia Declaration of Rights
82,• Fundamental Orders of Connecticut
83,• Mayflower Compact
84,• Iroquois Great Law of Peace
85,15. There are three branches of government. Why?
86,• So one part does not become too powerful
87,• Checks and balances
88,• Separation of powers
89,4 of 19 uscis.gov/citizenship
90,B: System of Government
91,16. Name the three branches of government.
92,"• Legislative, executive, and judicial"
93,"• Congress, president, and the courts"
94,17. The President of the United States is in charge of which branch of government?
95,• Executive branch
96,18. What part of the federal government writes laws?
97,• (U.S.) Congress
98,• (U.S. or national) legislature
99,• Legislative branch
100,19. What are the two parts of the U.S. Congress?
101,• Senate and House (of Representatives)
102,20. Name one power of the U.S. Congress. *
103,• Writes laws
104,• Declares war
105,• Makes the federal budget
106,21. How many U.S. senators are there?
107,• One hundred (100)
108,22. How long is a term for a U.S. senator?
109,• Six (6) years
110,23. Who is one of your state’s U.S. senators now?
111,• Answers will vary. [District of Columbia residents and residents of U.S. territories should answer that D.C. (or
112,the territory where the applicant lives) has no U.S. senators.]
113,24. How many voting members are in the House of Representatives?
114,• Four hundred thirty-five (435)
115,25. How long is a term for a member of the House of Representatives?
116,• Two (2) years
117,26. Why do U.S. representatives serve shorter terms than U.S. senators?
118,• To more closely follow public opinion
119,27. How many senators does each state have?
120,• Two (2)
121,5 of 19 uscis.gov/citizenship
122,28. Why does each state have two senators?
123,• Equal representation (for small states)
124,• The Great Compromise (Connecticut Compromise)
125,29. Name your U.S. representative.
126,• Answers will vary. [Residents of territories with nonvoting Delegates or Resident Commissioners may provide
127,the name of that Delegate or Commissioner. Also acceptable is any statement that the territory has no (voting)
128,representatives in Congress.]
129,30. What is the name of the Speaker of the House of Representatives now? *
130,• Visit uscis.gov/citizenship/testupdates for the name of the Speaker of the House of Representatives.
131,31. Who does a U.S. senator represent?
132,• Citizens of their state
133,• People of their state
134,32. Who elects U.S. senators?
135,• Citizens from their state
136,33. Who does a member of the House of Representatives represent?
137,• Citizens in their (congressional) district
138,• Citizens in their district
139,• People from their (congressional) district
140,• People in their district
141,34. Who elects members of the House of Representatives?
142,• Citizens from their (congressional) district
143,35. Some states have more representatives than other states. Why?
144,• (Because of) the state’s population
145,• (Because) they have more people
146,• (Because) some states have more people
147,36. The President of the United States is elected for how many years? *
148,• Four (4) years
149,37. The President of the United States can serve only two terms. Why?
150,• (Because of) the 22nd Amendment
151,• To keep the president from becoming too powerful
152,38. What is the name of the President of the United States now? *
153,• Visit uscis.gov/citizenship/testupdates for the name of the President of the United States.
154,6 of 19 uscis.gov/citizenship
155,39. What is the name of the Vice President of the United States now? *
156,• Visit uscis.gov/citizenship/testupdates for the name of the Vice President of the United States.
157,"40. If the president can no longer serve, who becomes president?"
158,• The Vice President (of the United States)
159,41. Name one power of the president.
160,• Signs bills into law
161,• Vetoes bills
162,• Enforces laws
163,• Commander in Chief (of the military)
164,• Chief diplomat
165,• Appoints federal judges
166,42. Who is Commander in Chief of the U.S. military?
167,• The President (of the United States)
168,43. Who signs bills to become laws?
169,• The President (of the United States)
170,44. Who vetoes bills? *
171,• The President (of the United States)
172,45. Who appoints federal judges?
173,• The President (of the United States)
174,46. The executive branch has many parts. Name one.
175,• President (of the United States)
176,• Cabinet
177,• Federal departments and agencies
178,47. What does the President’s Cabinet do?
179,• Advises the President (of the United States)
180,7 of 19 uscis.gov/citizenship
181,48. What are two Cabinet-level positions?
182,• Attorney General
183,• Secretary of Agriculture
184,• Secretary of Commerce
185,• Secretary of Education
186,• Secretary of Energy
187,• Secretary of Health and Human Services
188,• Secretary of Homeland Security
189,• Secretary of Housing and Urban Development
190,• Secretary of the Interior
191,• Secretary of Labor
192,• Secretary of State
193,• Secretary of Transportation
194,• Secretary of the Treasury
195,• Secretary of Veterans Affairs
196,• Secretary of War (Defense)
197,• Vice-President
198,• Administrator of the Environmental Protection Agency
199,• Administrator of the Small Business Administration
200,• Director of the Central Intelligence Agency
201,• Director of the Office of Management and Budget
202,• Director of National Intelligence
203,• United States Trade Representative
204,49. Why is the Electoral College important?
205,• It decides who is elected president.
206,• It provides a compromise between the popular election of the president and congressional selection.
207,50. What is one part of the judicial branch?
208,• Supreme Court
209,• Federal Courts
210,51. What does the judicial branch do?
211,• Reviews laws
212,• Explains laws
213,• Resolves disputes (disagreements) about the law
214,• Decides if a law goes against the (U.S.) Constitution
215,52. What is the highest court in the United States? *
216,• Supreme Court
217,8 of 19 uscis.gov/citizenship
218,53. How many seats are on the Supreme Court?
219,• Nine (9)
220,54. How many Supreme Court justices are usually needed to decide a case?
221,• Five (5)
222,55. How long do Supreme Court justices serve?
223,• (For) life
224,• Lifetime appointment
225,• (Until) retirement
226,56. Supreme Court justices serve for life. Why?
227,• To be independent (of politics)
228,• To limit outside (political) influence
229,57. Who is the Chief Justice of the United States now?
230,• Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the United States.
231,58. Name one power that is only for the federal government.
232,• Print paper money
233,• Mint coins
234,• Declare war
235,• Create an army
236,• Make treaties
237,• Set foreign policy
238,59. Name one power that is only for the states.
239,• Provide schooling and education
240,• Provide protection (police)
241,• Provide safety (fire departments)
242,• Give a driver’s license
243,• Approve zoning and land use
244,60. What is the purpose of the 10th Amendment?
245,• (It states that the) powers not given to the federal government belong to the states or to the people.
246,61. Who is the governor of your state now? *
247,• Answers will vary. [District of Columbia residents should answer that D.C. does not have a governor.]
248,62. What is the capital of your state?
249,• Answers will vary. [District of Columbia residents should answer that D.C. is not a state and does not have a
250,capital. Residents of U.S. territories should name the capital of the territory.]
251,9 of 19 uscis.gov/citizenship
252,C: Rights and Responsibilities
253,63. There are four amendments to the U.S. Constitution about who can vote. Describe one of them.
254,• Citizens eighteen (18) and older (can vote).
255,• You don’t have to pay (a poll tax) to vote.
256,• Any citizen can vote. (Women and men can vote.)
257,• A male citizen of any race (can vote).
258,"64. Who can vote in federal elections, run for federal office, and serve on a jury in the United States?"
259,• Citizens
260,• Citizens of the United States
261,• U.S. citizens
262,65. What are three rights of everyone living in the United States?
263,• Freedom of expression
264,• Freedom of speech
265,• Freedom of assembly
266,• Freedom to petition the government
267,• Freedom of religion
268,• The right to bear arms
269,66. What do we show loyalty to when we say the Pledge of Allegiance? *
270,• The United States
271,• The flag
272,67. Name two promises that new citizens make in the Oath of Allegiance.
273,• Give up loyalty to other countries
274,• Defend the (U.S.) Constitution
275,• Obey the laws of the United States
